Smiles,id,cnnaff,Training Example,regression
[H]c1nc([H])c([H])c(N([H])n2c([H])c([H])c([H])c([C@@]([H])(C([H])([H])c3c([H])c([H])c([H])c(C(=O)N([H])[H])c3[H])C([H])([H])[C@]([H])(c3c([H])oc([H])c3[H])c3c([H])c([H])c([H])c(Cl)c3Cl)c2=O)c1[H],10,0,False,0.0
[H]c1nc([H])c([C@]([H])(c2nc([H])c([H])c([H])c2[H])c2c([H])c([H])n([H])c(=O)c2[C@@]([H])(C([H])([H])OC([H])([H])C([H])([H])c2c([H])c([H])c(C(F)(F)F)c([H])c2[H])C([H])([H])C([H])([H])C([H])([H])c2c([H])c([H])c(Cl)c([H])c2[H])o1,11,0,False,0.0
[H]C([H])=C([H])C(=O)N([H])C([H])([H])C([H])([H])[C@@]([H])(c1c(C(=O)c2c([H])c([H])c(Cl)c([H])c2[H])c([H])c([H])n(-c2c([H])c([H])c([H])c([H])c2F)c1=O)C([H])([H])c1c([H])c([H])c([H])c(C(=O)N([H])[H])c1[H],12,0,False,0.0
[H]O[C@@]([H])(C([H])([H])[H])C([H])([H])N1C([H])([H])C([H])([H])[C@@]([H])(c2c(S[H])c(N3C(=O)C([H])=C([H])C3=O)c([H])n(-c3c(F)nc([H])c(OC([H])([H])[H])c3[H])c2=O)[C@]([H])(C([H])([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])C1([H])[H],13,0,False,0.0
[H]C(=C1SC(=S)N([H])C1=O)[C@@]([H])(c1c([H])c(Cl)c([H])c(Cl)c1[H])[C@]([H])(c1c([H])c([H])c([H])n([H])c1=O)[C@]([H])(C([H])([H])c1c([H])c([H])c([H])c([H])c1Cl)C([H])([H])n1nc([H])c([H])c1[H],14,0,False,0.0
[H]C([H])=C([H])C(=O)N([H])C([H])([H])[C@@]([H])(C(=O)N([H])C([H])([H])C([H])([H])OC([H])([H])[H])[C@@]([H])(c1c([H])c([H])c([H])n(-c2c([H])c([H])c([H])c([H])c2F)c1=O)C([H])([H])c1c([H])c([H])c([H])c(C(=O)N([H])[H])c1[H],15,0,False,0.0
[H]OC1([H])C([H])([H])C([H])([H])N(c2c([H])c(C([H])([H])C([H])([H])[C@@]([H])(c3c([H])c([H])c([H])n(N4C([H])([H])C([H])([H])S(=O)(=O)C([H])([H])C4([H])[H])c3=O)C([H])([H])C([H])([H])c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])c3nc([H])c([H])c([H])c3c2[H])C([H])([H])C1([H])[H],16,0,False,0.0
[H]C#CC([H])([H])OC1=C([H])C(=O)N(n2c([H])c(-c3c([H])c([H])c([H])c(C(=O)N([H])[H])c3[H])c([H])c([C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])c3c([C@@]4([H])C([H])([H])[C@@]4([H])N([H])[H])c([H])c([H])c4c([H])c([H])c([H])nc34)c2=O)C1=O,17,0,False,0.0
[H]OC([H])([H])[C@@]1([H])C([H])([H])C([H])([H])[C@@]([H])([C@]([H])(C([H])([H])N([H])C(=O)C([H])=C([H])c2c([H])c([H])c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c2[H])[C@@]([H])(c2c([H])c([H])c([H])n([H])c2=O)C([H])([H])c2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])C1([H])[H],18,0,False,0.0
[H]c1nn([C@@]2([H])C([H])([H])[C@@]([H])([C@@]([H])(C3([H])C([H])([H])C3([H])[H])C([H])([H])[C@@]([H])(c3c(OC([H])([H])C([H])([H])C([H])([H])N4C([H])([H])C([H])([H])C([H])(F)C([H])([H])C4([H])[H])c([H])c([H])n([H])c3=O)C([H])([H])[H])C([H])([H])[C@@]2([H])c2c([H])c([H])c([H])c(C(F)(F)F)c2[H])c([H])c1[H],19,0,False,0.0
[H]C([H])=C([H])C(=O)N([H])[C@@]([H])(N1C([H])([H])c2c([H])c([H])c([H])c([H])c2C([H])([H])C1([H])[H])[C@@]([H])(C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])[C@@]([H])(c1c([H])c([H])c([H])n([H])c1=O)C([H])([H])c1c([H])c([H])c([H])c(C(=O)N([H])[H])c1[H],20,0,False,0.0
[H]C([H])=C([H])C(=O)N([H])C([H])([H])C([H])([H])[C@@]([H])(c1c([H])c([H])c([H])n(-c2c([H])c(C(=NN([H])C(=S)N([H])[H])C([H])([H])[H])c([H])c([H])c2F)c1=O)C([H])([H])c1c([H])c(C(=O)N([H])[H])c([H])c([H])c1-c1nn([H])c([H])c1[H],21,0,False,0.0
[H]c1c([H])c(C(=O)N([H])[H])c([H])c(C([H])([H])[C@@](c2c([H])c(-c3c([H])c([H])c(F)c(F)c3[H])c([H])n([H])c2=O)(C2([H])C([H])([H])C([H])([H])C2([H])[H])[C@@]([H])(c2c([H])c([H])c(OC([H])([H])C([H])([H])[H])c([H])c2[H])C([H])([H])[H])c1[H],22,0,False,0.0
[H]c1c([H])c(N(C(=O)[C@]2([H])C([H])([H])C([H])([H])C([H])([H])[C@]2([H])C([H])([H])[C@]([H])(C([H])([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])[C@@]([H])(c2c([H])c([H])c([H])n(C(=O)N3C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c2=O)C([H])([H])[H])N([H])[H])c([H])c([H])c1C(=O)C([H])([H])[H],23,0,False,0.0
[H]C([H])=C([H])C(=O)N([H])C([H])([H])C([H])([H])[C@@]([H])(c1c([H])c([H])c([H])n(-c2c([H])c([H])c([H])c([H])c2F)c1=O)C([H])([H])c1c([H])c(C(=O)N([H])[H])c([H])c([H])c1OC([H])([H])C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H],24,0,False,0.0
[H]c1nc(N([H])[H])nc(C([H])([H])[C@]([H])(c2c([H])c([H])c([H])n([H])c2=O)C([H])([H])C([H])([H])c2c([C@@]3([H])C([H])([H])[C@@]3([H])N([H])[H])c(C(=O)C([H])([H])C([H])([H])c3c([H])c([H])c([H])c(C(F)(F)F)c3[H])c([H])c3c([H])c([H])c([H])nc23)c1[H],25,0,False,0.0
[H]c1nc([H])c(C([H])([H])N([H])N([H])S(=O)(=O)c2c([H])c([H])c(-c3c([H])c([H])c([H])n([H])c3=O)c(-c3sc4c([H])c([H])c([H])c([H])c4c3[H])c2C([H])([H])c2c([H])c([H])c([H])c(F)c2[H])c([H])c1[H],26,0,False,0.0
[H]OC([H])([H])c1c([H])c([H])c(-c2c([H])c([H])n([H])c(=O)c2[C@@]([H])(C([H])([H])c2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@@]([H])(C(=O)c2oc([H])c([H])c2[H])C([H])([H])[H])c(S(=O)(=O)N(C([H])([H])[H])C([H])([H])[H])c1[H],27,0,False,0.0
[H]OC([H])([H])c1c([H])c([H])c(-c2c([H])c([H])n([H])c(=O)c2[C@@]([H])(C([H])([H])c2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])C([H])([H])[C@]([H])(c2c([H])c([H])c(N([H])C(=O)C([H])([H])[H])c([H])c2[H])C([H])([H])C([H])([H])N2C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H],28,0,False,0.0
[H]c1c([H])c(C(=O)N([H])[H])c([H])c(C([H])([H])[C@]([H])(c2c(-c3c([H])c([H])c(OC([H])(C([H])([H])[H])C([H])([H])[H])c([H])c3[H])c(-c3c([H])c(OC([H])([H])[H])c([H])c(OC([H])([H])[H])c3[H])c([H])n([H])c2=O)C([H])([H])C([H])([H])[H])c1[H],29,0,False,0.0
[H]c1nc([H])c([H])c(C([H])([H])[C@]([H])(C#Cc2c([H])c([H])c([H])c([H])c2[H])OC([H])([H])[C@@]2([H])C([H])([H])C([H])([H])C([H])([H])[C@]2([H])N(O[C@]([H])(n2c([H])c([H])c([H])c2[H])C([H])([H])C([H])([H])C([H])([H])[H])C(=O)n2c([H])c([H])c([H])c([H])c2=O)n1,30,0,False,0.0
[H]c1nc2c(C([H])([H])n3c(-c4c([H])c([H])n(N(C(=O)C([H])(C([H])([H])[H])C([H])([H])[H])C(F)(F)F)c(=O)c4-c4c([H])c([H])c(S(=O)(=O)N([H])[H])c([H])c4[H])nc([H])c3[H])c([H])c([H])c([H])c2c([H])c1[H],31,0,False,0.0
[H]OC(=O)C([H])([H])C([H])([H])[C@]([H])(c1c([H])c([C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])c2c([H])c([H])c([H])c(F)c2[H])c(=O)n(-c2nc([H])c(F)c([H])c2[H])c1[H])C([H])([H])N1C(=O)c2c([H])c([H])c([H])c([H])c2C1=O,32,0,False,0.0
[H]c1nc2c([C@@]([H])(c3c([H])c([H])c([H])c([H])c3Cl)C([H])([H])[C@@]([H])(c3c([H])c(N4C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C4([H])[H])c([H])n(-c4c([H])nc([H])c(F)c4[H])c3=O)C([H])([H])[H])c([H])c([H])c([H])c2c([H])c1[H],33,0,False,0.0
[H]c1nc(N([H])n2c([H])c(N(c3c([H])c([H])c([H])c(C#N)c3[H])[C@]3([H])C([H])([H])C([H])([H])[C@]([H])(c4c([H])nn([H])c4[H])C3([H])[H])c([H])c([C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])c3c([H])nc([H])c(F)c3[H])c2=O)sc1[H],34,0,False,0.0
[H]Sc1c(N2C(=O)C([H])=C([H])C2=O)c([H])n(-c2c([H])nc([H])c(OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c2-c2c([H])nc(C(F)(F)F)c([H])c2[H])c(=O)c1[H],35,0,False,0.0
[H]c1c([H])c([H])c([C@@]([H])(C([H])([H])[H])C(N([H])C(=O)c2c([H])c([C@](C([H])([H])[H])(C([H])(F)F)C([H])([H])C([H])([H])[H])c(=O)n(-c3c(OS(=O)(=O)N([H])[H])nn(C([H])([H])[H])c3[H])c2[H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H],36,0,False,0.0
[H]c1nc([H])c(C#C[C@@]([H])(Sc2c([H])c([C@@]([H])(C([H])([H])[H])[C@]([H])(C([H])([H])C(F)(F)F)C([H])([H])[C@@]([H])(c3c([H])sc4c([H])c([H])c([H])c([H])c34)N([H])c3c([H])c([H])c([H])c([H])c3[H])c(=O)n([H])c2[H])C([H])([H])[H])c([H])c1[H],37,0,False,0.0
[H]c1sc(C(=O)c2c(Cl)c([H])c([C@@]([H])(Sc3c([H])c([H])n([H])c(=O)c3[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c2[C@]([H])(C([H])([H])C([H])([H])[H])C([H])([H])[C@]2([H])C([H])([H])[C@@]2([H])N([H])[H])c([H])c1[H],38,0,False,0.0
[H]c1nc(N([H])n2c([H])c(N(C([H])([H])C([H])([H])C([H])([H])c3c([H])c([H])c([H])c([H])c3[H])[C@]3([H])C([H])([H])C([H])([H])[C@]([H])(c4c([H])nn([H])c4[H])C3([H])[H])c([H])c([C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])c3c([H])nc([H])c(F)c3[H])c2=O)sc1[H],39,0,False,0.0
[H]Oc1c([H])c([H])c(C2(c3c([H])c(OC(F)(F)F)c([H])c([H])c3Sc3c([H])c([H])n([H])c(=O)c3-c3c([H])c([H])c([H])c(C([H])([H])N([H])[H])c3[H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H],40,0,False,0.0
[H]Oc1c([H])c([H])c(-n2c([H])c([H])c(SC(F)(F)F)c([C@@]([H])(C([H])([H])c3nc([H])c([H])n3C([H])([H])C([H])([H])N([H])[H])C([H])([H])C([H])([H])C#Cc3c([H])nc([H])c([H])c3[H])c2=O)c([H])c1[H],41,0,False,0.0
[H]c1nc(N([H])n2c([H])c(N([H])[C@]3([H])C([H])([H])[C@]([H])(C#Cc4c([H])c([H])c([H])c([H])c4[H])[C@]([H])(c4c([H])nn([H])c4[H])C3([H])[H])c([H])c([C@]([H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])N([H])C(=O)c3c([H])c([H])c([H])c([H])c3[H])c2=O)sc1[H],42,0,False,0.0
[H]c1nc(C([H])([H])[H])n(C([H])([H])C([H])([H])[C@@]([H])(c2c(-c3c([H])c([H])c(OC([H])(C([H])([H])[H])C([H])([H])[H])c([H])c3N([H])C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])n([H])c2=O)C([H])([H])c2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])c1[H],43,0,False,0.0
[H]C1=C([H])C(=O)N(n2c([H])c([H])c([H])c([C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])c3c([C@@]4([H])[C@]([H])(C([H])=C([H])[H])[C@@]4([H])N([H])[H])c([H])c([H])c4c([H])c([H])c(C([H])([H])c5c([H])c([H])c(Cl)c([H])c5[H])nc34)c2=O)C1=O,44,0,False,0.0
[H]c1nc2c(C([H])([H])C([H])([H])[C@@]([H])(c3c([H])c(N4C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])[H])C([H])([H])[C@]4([H])c4c([H])c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c4[H])c([H])n(-c4c([H])nc([H])c(F)c4[H])c3=O)C([H])([H])[H])c([H])c([H])c([H])c2c([H])c1[H],45,0,False,0.0
[H]c1nc([H])c(C([H])([H])n2c(-c3c([H])c(S(=O)(=O)N([H])[H])c([H])c([H])c3-c3c(N([H])[C@@]([H])(C([H])([H])C([H])([H])[H])[C@@]([H])(c4c([H])c([H])c([H])c([H])c4[H])C([H])([H])[H])c([H])c([H])n([H])c3=O)nc([H])c2[H])c([H])c1F,46,0,False,0.0
[H]c1nc(N([H])[H])nc(C([H])([H])[C@]([H])(c2c(C(=O)N([H])C([H])([H])C([H])([H])c3c([H])c([H])c([H])c([H])c3[H])c([H])c([H])n([H])c2=O)C([H])([H])C([H])([H])c2c([C@@]3([H])C([H])([H])[C@@]3([H])N([H])[H])c([H])c([H])c3c([H])c([H])c([H])nc23)c1[H],47,0,False,0.0
[H]c1c([H])c(Cl)c(Cl)c(-c2c([H])c([H])n([H])c(=O)c2[C@@]([H])(C([H])([H])c2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])C([H])([H])C([H])([H])c2c([H])c([H])c(N(C([H])([H])[H])C([H])([H])[H])c([H])c2[H])c1[H],48,0,False,0.0
[H]c1c([H])c([H])c(C([H])([H])C([H])([H])C([H])([H])c2c(SC([H])([H])c3c([H])c([H])c([H])c(Cl)c3N([H])c3c([H])c([H])c(F)c([H])c3Oc3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])c([H])c(=O)n([H])c2[H])c([H])c1[H],49,0,False,0.0
[H]c1nc([H])c2c([H])c([H])c([H])c([H])c2c1C([H])([H])[C@]([H])(N([H])C(=O)[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])[C@@]([H])(c1c([H])c([H])c([H])n([H])c1=O)C([H])([H])c1c([H])c([H])c([H])c(C(=O)N([H])[H])c1[H],50,0,False,0.0
[H]c1nc(C([H])([H])c2c([H])c([H])n([H])c(=O)c2[C@@]([H])(C([H])([H])OC([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])N([H])N([H])[H])c([H])c(-c2c([H])c([H])c([H])c(S(=O)(=O)C([H])([H])[H])c2[H])c1C([H])([H])C(=O)N(C([H])([H])[H])C([H])([H])c1c([H])c([H])c(F)c([H])c1[H],51,0,False,0.0
[H]c1c([H])c(Cl)c([H])c(C([H])([H])Sc2c([H])c([H])n([H])c(=O)c2-n2c([H])c([H])c([H])c2N([H])C(=O)[C@]([H])(C([H])([H])[H])C([H])([H])c2c(C([H])([H])c3c([H])c([H])c(OC(F)(F)F)c([H])c3[H])noc2C([H])([H])[H])c1[H],52,0,False,0.0
[H]c1nc(-c2c([H])c([H])c([H])c([H])c2C(=O)N([H])c2c([H])c([C@](C([H])([H])[H])(C([H])(F)F)C([H])([H])C([H])([H])[H])c(=O)n(-c3c(OS(=O)(=O)N([H])[H])nn(C([H])([H])[H])c3[H])c2[H])nc([H])c1[H],53,0,False,0.0
[H]c1nn(N(Oc2c([H])c([H])c(Cl)c([H])c2[H])N([H])C(=O)c2c(SC#CC(=O)C([H])([H])[H])c([H])c([H])n(-c3nnn([H])n3)c2=O)c([H])c1[H],54,0,False,0.0
[H]ON([H])C(=O)C(=C([H])c1c([H])c([H])c(=O)n([H])c1[H])C([H])([H])[C@]([H])(C([H])([H])O[C@]([H])(C([H])([H])c1nc2c([H])c([H])c([H])c([H])c2s1)C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])N([H])[H])[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])n1nc([H])nc1[H],55,0,False,0.0
[H]c1nc([H])c(-c2c([H])c(Cl)c(N([H])c3c([H])c([H])c(F)c(C([H])([H])F)c3[H])c(C([H])([H])Sc3c([H])c([H])n([H])c(=O)c3[H])c2[H])c(N([H])C([H])([H])c2c([H])c([H])nc([H])c2[H])c1[H],56,0,False,0.0
[H]ON([H])C(=O)C(=C([H])c1c([H])c(F)c(=O)n(-c2c([H])c([H])c([H])c(C([H])([H])N([H])[H])c2[H])c1[H])[C@@]([H])(c1c([H])c([H])c([H])c2nc([H])c([H])c([H])c12)[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],57,0,False,0.0
[H]c1oc([H])c([C@@]([H])(OC([H])([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])[C@@]([H])(c2c([H])c([H])c([H])n([H])c2=O)C([H])([H])c2c([H])c(C(=O)N([H])[H])c([H])c([H])c2-c2c([H])c([H])c([H])c(N([H])C(=O)C([H])([H])[H])c2[H])c1[H],58,0,False,0.0
[H]OC([H])([H])c1c([H])c([H])c(-c2c([H])c([H])n([H])c(=O)c2[C@@]([H])(C([H])([H])c2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N2C([H])([H])C([H])([H])C([H])([H])[C@@]2([H])c2c([H])c([H])c([H])c3nc([H])c([H])c([H])c23)c([H])c1[H],59,0,False,0.0
[H]c1c(-n2c([H])c(S(=O)(=O)C([H])([H])C([H])([H])[H])c(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([C@](C([H])([H])[H])(C([H])(F)F)C([H])([H])C([H])([H])[H])c2=O)c(OS(=O)(=O)N([H])[H])nn1C([H])([H])[H],60,0,False,0.0
[H]C(=O)c1c([H])c([H])c([C@@]([H])(Sc2c(-c3c([H])c([H])c([H])n3[H])c([H])n(OC([H])([H])C([H])([H])C([H])([H])C([H])([H])c3c([H])c([H])c([H])c4c([H])c([H])c([H])c([H])c34)c(=O)c2[H])n2nc([H])c([H])c2[H])c([H])c1Cl,61,0,False,0.0
[H]c1nc(N([H])[H])nc(C([H])([H])[C@]([H])(c2c([H])c(C([H])([H])N([H])[H])c([H])n([H])c2=O)C([H])([H])C([H])([H])c2c([C@@]3([H])C([H])([H])[C@@]3([H])N([H])[H])c([H])c(-c3nc([H])c(C(F)(F)F)c([H])c3[H])c3c([H])c([H])c([H])nc23)c1[H],62,0,False,0.0
[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(c1c([H])c([H])c([H])c(C(=O)N([H])[H])c1[H])[C@]([H])(c1c([H])c([H])c([H])n(N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c1=O)C([H])([H])C([H])([H])C([H])([H])C(F)(F)F,63,0,False,0.0
[H]c1nc([H])c([H])c(C([H])([H])C([H])([H])C([H])([H])N(C(=O)[C@](c2c([H])c([H])c([H])n([H])c2=O)(C([H])([H])C([H])([H])c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])C([H])([H])C([H])([H])c2c([H])c([H])c([H])c3c([H])c([H])c([H])nc23)C([H])([H])C([H])([H])[H])c1[H],64,0,False,0.0
[H]c1nn(N([H])N([H])C(=O)c2c(SC#C[C@]([H])(c3c([H])c([H])c([H])c([H])c3C#N)c3c([H])c([H])c4c([H])c([H])c([H])c([H])c4c3[H])c([H])c([H])n(-c3nnn([H])n3)c2=O)c([H])c1[H],65,0,False,0.0
[H]C(C(=O)N([H])C([H])([H])C([H])([H])[C@@]([H])(c1c([H])c([H])c([H])n(-c2c([H])c(C(=O)N([H])C([H])([H])C([H])([H])OC([H])([H])[H])c([H])c([H])c2F)c1=O)C([H])([H])c1c([H])c([H])c([H])c(C(=O)N([H])[H])c1[H])=C([H])N([H])C(=O)N([H])[H],66,0,False,0.0
[H]C([H])=C([H])[C@@]([H])(C(=O)c1c([H])c([H])c(Cl)c([H])c1[H])C([H])([H])C([H])([H])[C@@]([H])(c1c([H])c(C([H])([H])N([H])C(=O)C([H])([H])[H])c([H])n(N([H])c2nc([H])c([H])c(-c3c([H])nc(N([H])[H])nc3[H])c2[H])c1=O)C([H])([H])[H],67,0,False,0.0
[H]c1nc([H])c(-c2c([H])c(C([H])([H])N(c3nc4c([H])c([H])c([H])c([H])c4o3)C([H])([H])c3c([H])c(N([H])C(=O)C([H])([H])C([H])([H])[H])c([H])c([H])c3Cl)c([H])n([H])c2=O)c([H])c1-c1c([H])c([H])c([H])c(N([H])[H])c1[H],68,0,False,0.0
[H]c1nc([H])c(C([H])([H])n2c(-c3c([H])c(S(=O)(=O)N([H])[H])c([H])c([H])c3-c3c(N([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c([H])n(-c4nc([H])c(C([H])([H])[H])c([H])c4[H])c3=O)nc([H])c2[H])c([H])c1F,69,0,False,0.0
[H]c1nc(C([H])([H])C([H])(F)F)n(C([H])([H])C([H])([H])[C@@]([H])(c2c(-c3c([H])c([H])c(OC([H])(C([H])([H])[H])C([H])([H])[H])c([H])c3[H])c([H])c([H])n([H])c2=O)C([H])([H])c2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])c1[H],70,0,False,0.0
[H]SC([H])([H])C([H])([H])c1nc([H])c([H])n1C([H])([H])C([H])([H])[C@@]([H])(c1c(-c2c([H])c([H])c(OC([H])(C([H])([H])[H])C([H])([H])[H])c([H])c2[H])c([H])c([H])n([H])c1=O)C([H])([H])c1c([H])c([H])c([H])c(C(=O)N([H])[H])c1[H],71,0,False,0.0
[H]c1nc([H])n(C([H])([H])[C@@]([H])(c2c([H])c([H])c([H])c(S(=O)(=O)C([H])([H])[H])c2[H])[C@@]([H])(c2c([H])c(N([H])C3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c(SC([H])([H])c3c([H])c([H])c([H])c([H])c3[H])n([H])c2=O)C([H])([H])[H])c1[H],72,0,False,0.0
[H]c1nc([H])c([C@@]([H])(c2nc(C([H])([H])[H])sc2[H])N([H])N([H])S(=O)(=O)c2c([H])c([H])c(-c3c([H])c(SC([H])([H])c4c([H])c([H])c([H])c([H])c4[H])c([H])n([H])c3=O)c([H])c2[H])c([H])c1[H],73,0,False,0.0
[H]c1nc(N([H])n2c([H])c(N([H])[C@]3([H])C([H])([H])C([H])([H])[C@]([H])(c4c([H])nn([H])c4[H])C3([H])[H])c([H])c([C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])c3nc([H])c(C([H])([H])[H])c([H])c3[H])c2=O)sc1-c1c([H])c([H])c(OC([H])([H])C([H])([H])[H])c([H])c1[H],74,0,False,0.0
[H]c1nc(N([H])n2c([H])c(N([H])[C@]3([H])C([H])([H])[C@]([H])(C#Cc4c([H])c([H])c([H])c([H])c4[H])[C@]([H])(c4c([H])nn([H])c4[H])C3([H])[H])c([H])c([C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])c3c([H])nc([H])c([H])c3[H])c2=O)sc1[H],75,0,False,0.0
